url,title,index,total_time,num_ingredients
https://www.justonecookbook.com/butter-cookies-hato-sabure-recipe/,Butter cookies (homemade hato sabure),433,75,6
https://www.justonecookbook.com/blueberry-cheesecake/,Blueberry cheesecake,434,120,14
https://www.justonecookbook.com/ujikintoki-green-tea-shaved-ice/,Ujikintoki (green tea shaved ice),435,10,8
https://www.justonecookbook.com/hanami-dango/,Hanami dango,436,90,7
https://www.justonecookbook.com/cherry-ice-cream/,Cherry ice cream,437,120,7
https://www.justonecookbook.com/matcha-mille-crepe-cake/,Matcha mille crepe cake,438,120,12
https://www.justonecookbook.com/green-tea-creme-brulee/,Green tea creme brulee,439,120,5
https://www.justonecookbook.com/nougat-semifreddo-guest-post-by-alterkitchen/,Nougat semifreddo,440,120,8
https://omnivorescookbook.com/eight-treasure-rice/,"Eight treasure rice (八宝饭, chinese rice pudding)",1141,65,13
https://omnivorescookbook.com/mango-sago/,Mango sago (杨枝甘露),1142,30,6
https://omnivorescookbook.com/dou-fu-nao/,"Dou fu nao (豆腐脑, beijing-style tofu pudding with gravy)",706,55,14
https://omnivorescookbook.com/strawberry-thumbprint-cookies/,Strawberry thumbprint cookies,1143,42,8
https://omnivorescookbook.com/red-bean-popsicles/,Creamy red bean popsicles (红豆冰棍),1144,60,3
https://omnivorescookbook.com/chinese-fish-en-papillote/,Chinese fish en papillote (paper wrapped fish in sesame ginger sauce),714,22,8
https://omnivorescookbook.com/gluten-free-apple-crumble/,Gluten-free apple crumble (without oats),1145,75,14
https://omnivorescookbook.com/white-chocolate-lemon-cupcakes/,White chocolate lemon cupcakes,1146,35,14
https://omnivorescookbook.com/ginger-creme-brulee/,Ginger creme brulee,1147,60,8
https://omnivorescookbook.com/recipes/black-rice-with-coconut-milk-and-fruits/,Black rice with coconut milk and fruits,1148,50,8
https://omnivorescookbook.com/recipes/family-favorite-fruitcake/,Family favorite fruitcake,1149,85,9
https://omnivorescookbook.com/chinese-bird-nest/,How to cook chinese bird nest (燕窝),1150,55,6
https://omnivorescookbook.com/recipes/how-to-make-red-bean-paste/,How to make red bean paste,1151,50,3
https://omnivorescookbook.com/easy-pie-crust/,Easy pie crust (with food processor),1152,120,7
https://omnivorescookbook.com/chinese-banana-fritters/,"Chinese banana fritters (炸香蕉, fried banana)",1153,25,9
https://omnivorescookbook.com/vegan-mango-pudding/,Vegan mango pudding,1154,120,5
https://omnivorescookbook.com/recipes/zongzi-red-bean-paste/,Zongzi with red bean paste (sticky rice dumplings),1155,120,4
https://omnivorescookbook.com/recipes/apple-pie-cookies/,Apple pie cookies,1156,90,13
https://omnivorescookbook.com/black-sesame-soup/,Black sesame soup (黑芝麻糊),1157,120,3
https://omnivorescookbook.com/mango-sticky-rice/,Mango sticky rice,1158,40,7
https://omnivorescookbook.com/red-bean-soup/,Red bean soup (红豆汤),1159,70,4
https://omnivorescookbook.com/almond-tofu/,"Almond tofu (almond pudding, 杏仁豆腐)",1160,10,5
https://omnivorescookbook.com/chinese-walnut-cookies/,Chinese walnut cookies (核桃酥),1161,55,9
https://omnivorescookbook.com/japanese-strawberry-shortcake/,Japanese strawberry shortcake,1162,120,17
https://omnivorescookbook.com/tang-yuan/,Tang yuan (sweet rice balls with peanut butter filling),1163,50,6
https://omnivorescookbook.com/eight-treasure-congee/,Eight treasure congee (八宝粥),1164,50,10
https://omnivorescookbook.com/salted-chocolate-chip-cookies/,Salted chocolate chip cookies,1165,32,10
https://omnivorescookbook.com/sticky-rice-cake-with-red-bean-paste/,Sticky rice cake with red bean paste,1166,40,4
https://omnivorescookbook.com/snow-skin-mooncake-custard/,Snow skin mooncake with custard filling (冰皮月饼),1167,120,15
https://omnivorescookbook.com/kabocha-pumpkin-pie/,Kabocha pumpkin pie (a lighter and fluffier pie),1168,105,11
https://omnivorescookbook.com/black-sesame-ice-cream/,4-ingredient no-churn black sesame ice cream,1169,120,5
https://omnivorescookbook.com/shen-jian-bao/,"Sheng jian bao (生煎包, shanghai pan-fried pork buns)",717,120,21
https://thewoksoflife.com/peach-squares/,Peach squares,1197,60,8
https://thewoksoflife.com/alkaline-rice-dumplings-zongzi/,Jianshui zong (alkaline rice dumplings - 碱水粽),1198,120,11
https://thewoksoflife.com/lotus-mooncakes-egg-yolks/,Lotus mooncakes with salted egg yolks,1199,120,14
https://thewoksoflife.com/apple-cinnamon-coffee-cake/,Apple cinnamon coffee cake,1200,80,17
https://thewoksoflife.com/baobing-chinese-shaved-ice/,Chinese shaved ice,1201,120,14
https://thewoksoflife.com/pumpkin-mochi-pumpkin-filling/,Pumpkin mochi with pumpkin filling,1202,105,8
https://thewoksoflife.com/snow-skin-mooncakes/,Snow skin mooncakes,1203,120,7
https://thewoksoflife.com/peanut-butter-and-jelly-cookies/,Peanut butter and jelly cookies,1204,75,11
https://thewoksoflife.com/matcha-bacon-sugar-cookies/,Matcha bacon sugar cookies,1205,120,12
https://thewoksoflife.com/shepherds-purse-tofu-soup/,Shepherd’s purse tofu soup,1206,25,8
https://thewoksoflife.com/favorite-carrot-cake-recipe/,Our favorite carrot cake recipe,1207,120,16
https://thewoksoflife.com/sesame-balls/,Sesame balls,1208,120,7
https://thewoksoflife.com/xiamen-mei-fun-noodles/,Xiamen mei fun rice noodles,1209,35,15
https://thewoksoflife.com/triple-layer-berry-cake-w-lemon-cream-thyme/,Triple layer berry cake with lemon cream & thyme,1210,105,18
https://thewoksoflife.com/nian-gao-recipe/,Chinese new year sweet rice cake (nian gao),1211,90,11
https://thewoksoflife.com/yogurt-popsicles-fruit/,4-ingredient fruit & yogurt popsicles,1212,120,4
https://thewoksoflife.com/mulberry-galette-w-vanilla-sauce/,Mulberry galette with vanilla sauce,1213,60,16
https://thewoksoflife.com/cantonese-steamed-milk-egg-pudding/,Cantonese steamed milk egg pudding (双皮奶),1214,25,6
https://thewoksoflife.com/osmanthus-cake/,Osmanthus cake,1215,60,12
https://thewoksoflife.com/spanish-chicken-stew/,Ma’s spanish chicken stew,1216,80,16
https://thewoksoflife.com/sweet-red-bean-paste-recipe-instant-pot/,Sweet red bean paste recipe (in an instant pot),1217,80,5
https://thewoksoflife.com/frozen-mango-coconut/,Guilt-free frozen mango coconut ices,1218,120,4
